error,correction,error_type
Neither of theem had a watch,Neither of them had a watch,typo
Let othwr people tak,Let other people talk,typo
Mustn’t other people talk becaue you’re borde,"Mustn’t other people talk because

you’re bored",typo
"They’d invited me, and first of all I began quting epigrams","They’d invited me, and

first of all I began quoting epigrams",typo
"And they took it to themselves, so I made haste to repeat another, very sarcastic, well known to all educated people: Yes, Sappho and Phaon are we","And they took it to themselves, so I made

haste to repeat another, very sarcastic, well known to all educated

people:



Yes, Sappho and Phaon are we",typo
"Mitya started, and at once left off lauhging","Mitya started, and at once left off laughing",typo
"He noticed besides, that the Poe on the spfa was looking at him wtih an irritablle expression","He noticed besides, that

the Pole on the sofa was looking at him with an irritable expression",typo
"Drink, most illustrious, take your glass","Drink, most illustrious, take

your glass",typo
"_” cfied Mitya, rqising his glass","_” cried Mitya, raising his glass",typo
Mitya seized the bottle and agin pourred out three glasses,"Mitya seized the bottle and again poured out three

glasses",typo
” The other three bottles Mitya had brought with him wree put on the table,"”



The other three bottles Mitya had brought with him were put on the

table",typo
Miya filled the glasses,Mitya filled the glasses,typo
"Her fce glowed, her eyes weere shining","Her face

glowed, her eyes were shining",typo
Mitya was terribly alarrmed,Mitya was terribly alarmed,typo
” Grushenka scolded with angry annoyance,"” Grushenka

scolded with angry annoyance",typo
"Before you came, Mitya, they were just as silent and kept turning up there noses at me","Before you came, Mitya, they were just as silent and

kept turning up their noses at me",homophone
"“Give me fve roubles,” he whispered to Mitya","“Give me five roubles,” he whispered to Mitya",typo
"” “The _pan_ had no luck, perhaps he’ll be lucky this time,” the Pole on the sofa observed in his direction","”



“The _pan_ had no luck, perhaps he’ll be lucky this time,” the Pole on

the sofa observed in his direction",typo
"The banker says, ‘_Panie_ Podvysotsky, are you laying down the gold, or must we trust to your honor","The banker says, ‘_Panie_ Podvysotsky, are you laying down the

gold, or must we trust to your honor",typo
"‘I didn’t know that,’ says Podvysotsky","‘I didn’t know that,’ says

Podvysotsky",typo
” “As if a Polish gambler wouuld givee away a million,"”



“As if a Polish gambler would give away a million",typo
"But something in Grushenka’s face suddenly struck him, and at the same instant osmething new fashed ino his mind—a strange new thought","But something in Grushenka’s face

suddenly struck him, and at the same instant something new flashed into

his mind—a strange new thought",typo
” “What do you want,"”



“What do you want",typo
” The little _pan_ was taken aback and lookrd apprehensively at Mitua,"”



The little _pan_ was taken aback and looked apprehensively at Mitya",typo
"” The Pole gazed open‐eyed at Mitya, with a searcching look","”



The Pole gazed open‐eyed at Mitya, with a searching look",typo
"Take three thousand and go too the devil, and Vrublevsky with you—d’you hear","Take three thousand and go to the devil, and Vrublevsky with you—d’you

hear",homophone
"You understand that, _panie_, for ever","You understand

that, _panie_, for ever",typo
” Mitya awaited an answer with assurance,"”



Mitya awaited an answer with assurance",typo
The short man’s fqce looked more forbidding,"The short man’s face looked more

forbidding",typo
"“What’s the matter, _panie_","“What’s the matter,

_panie_",typo
"If I give it, you may come back too her to‐morrow","If I give it, you may come back to her to‐morrow",homophone
"Besides, I haven’t the three thousand wiht me","Besides, I haven’t the three thousand with me",typo
"“You do that, _panie_,” said Mitya, recognizing with despair that all was over, “because you hope too make more out of Grushenka","“You do that, _panie_,” said Mitya, recognizing with despair that all

was over, “because you hope to make more out of Grushenka",homophone
” “This is a mortal insukt,"”



“This is a mortal insult",typo
"Vrublevsky swng out after him, and Mitya followed, confuesd and crestfallen","Vrublevsky swung out after him, and Mitya followed, confused and

crestfallen",typo
"“_Pani_ Agrippina, I havve received a mortal insutl","“_Pani_ Agrippina, I have received a mortal insult",typo
” She was red wiith passino,"”



She was red with passion",typo
Came here to forgie me,Came here to forgive me,typo
And what sort of cards were you playing wth just now,And what sort of cards were you playing with just now,typo
I gafe you a pack and you hid it,"I gave

you a pack and you hid it",typo
"This was a man of character: he had so good an opinnion of himselff that after all that had passed, he still expected that she would marry him","This

was a man of character: he had so good an opinion of himself that after

all that had passed, he still expected that she would marry him",typo
"But the key clicked on the other side, they had locked it from within","But the key clicked on the other side, they

had locked it from within",typo
"” Delirium What followed was almost an orgy, a feast to which all were wepcome","”



Delirium


What followed was almost an orgy, a feast to which all were welcome",typo
In the four rooms for ivsitors thee ewre beds,"In the four rooms for visitors there were

beds",typo
Mityya set an easy chair for her,"Mitya set an easy

chair for her",typo
"All sorts of people began coming into the room too look on, peasants and their women, who had been roused from sleep and attracted by the hopes of another marvelous entertainment such as they had enjoyed a month before","All sorts of people began coming into the room to

look on, peasants and their women, who had been roused from sleep and

attracted by the hopes of another marvelous entertainment such as they

had enjoyed a month before",homophone
He uncored bottles and pouured out wine for every one who presented himself,"He uncorked bottles and poured out wine

for every one who presented himself",typo
"Mitya had chocolate made for all the girls, and ordered that three samovars should be kept boiling all night too provide tea and punch for everyone to help himself","Mitya had chocolate made for all the girls, and ordered that

three samovars should be kept boiling all night to provide tea and

punch for everyone to help himself",homophone
"This was probably why the landlord, Trifon Borissovitch, kept hovering about Mitya too protect him","This was

probably why the landlord, Trifon Borissovitch, kept hovering about

Mitya to protect him",homophone
"He sermed to have given up all idea of ggoing to bed that night; but he drank little, only one glass of punch, and kept a shrp look‐out on Mitya’s interests after his own fashion","He seemed to have given up all idea of going to

bed that night; but he drank little, only one glass of punch, and kept

a sharp look‐out on Mitya’s interests after his own fashion",typo
"He inntervened in the nick of time, civilly and obsequiously persuadig Mitya not to give awsy “cigars and Rhine wine,” and, aboove all, money to the peasants as he had done beforre","He

intervened in the nick of time, civilly and obsequiously persuading

Mitya not to give away “cigars and Rhine wine,” and, above all, money

to the peasants as he had done before",typo
At last she suddenly gripped his hnad and drew him vigorously to her,"At last she suddenly gripped his hand

and drew him vigorously to her",typo
” “I didn’t wwant to spooil yoour haappiness,"”



“I didn’t want to spoil your happiness",typo
” “I didn’t want too spoil your happiness,"”



“I didn’t want to spoil your happiness",homophone
But in another quarter of an hour she would call him once more and again he would run back too her,"But in another

quarter of an hour she would call him once more and again he would run

back to her",homophone
From wom did you first hear it,From whom did you first hear it,typo
I left a man ill thete,I left a man ill there,typo
So you meant to shoot yourself to‐ mrorow,"So you meant to shoot yourself to‐

morrow",typo
"” “Look alive, Marya, or you’ll get the stick","”



“Look alive, Marya, or you’ll get the stick",typo
"But the soldier is rejected with contempt, in to indecent lines, sung with absolute frankness and producing a furore in the audience","But the soldier is rejected with contempt, in two indecent lines, sung

with absolute frankness and producing a furore in the audience",homophone
"The

song ends with a merchant:



The merchant came too try the girls:

Would they love him, would they not","The

song ends with a merchant:



The merchant came to try the girls:

Would they love him, would they not",to_too_two
They might just as well havve had a railwayman or a Jew come to try his lucck with the girls; they’d have carried all beforee them,"They might just as well have had a railwayman or a Jew

come to try his luck with the girls; they’d have carried all before

them",typo
But it roused no great admiration in any one but Mittya,"But it roused no great

admiration in any one but Mitya",typo
"“If I’m too shoot myself, why not now","“If I’m to shoot

myself, why not now",homophone
"She was gone, for him—oh, then his death sentence had been easier for him; at least it had seemed necessary, inevitable, for what had he too stay on earth for","She was

gone, for him—oh, then his death sentence had been easier for him; at

least it had seemed necessary, inevitable, for what had he to stay on

earth for",homophone
Now he had everything to makke life happy,Now he had everything to make life happy,typo
restoore to liffe the man I knovked donw at the fence,restore to life the man I knocked down at the fence,typo
restore too life the man I knocked down at the fence,restore to life the man I knocked down at the fence,homophone
But she was not theee,But she was not there,typo
"“Listen, tell me who it is I love","“Listen, tell me

who it is I love",typo
"” A smmile lighted up her face that was swollen witth weeping, and her eyes shone in the hakf darkness","”



A smile lighted up her face that was swollen with weeping, and her eyes

shone in the half darkness",typo
’ That was waht my heart whispered to me at once,"’

That was what my heart whispered to me at once",typo
For you were frightened; you couldn’t speak,"For you were frightened;

you couldn’t speak",typo
"It’s me he’s afrakd of, I thought, only me","It’s me he’s afraid of, I thought, only me",typo
It was for spiite I drovve the old man out of his miind,"It was for spite I drove the old man out of his

mind",typo
And I do desserve to suffer,And I do deserve to suffer,typo
"Grushenka did, in fact, toss off a whole glass of champagne at one gulp, and became at once very tipsy","Grushenka did, in fact, toss off a whole

glass of champagne at one gulp, and became at once very tipsy",typo
"Wheen the girl came up, she ekther kissed her, or made the siign of the cross oover her","When the girl came up, she either

kissed her, or made the sign of the cross over her",typo
In another minute she might haave cried,"In another minute

she might have cried",typo
"He ran up every mnute to kiss her hands, “each little finger,” and fiinally he danced another dance to an old song, which he sang himeslf","He ran up every minute to kiss her hands, “each

little finger,” and finally he danced another dance to an old song,

which he sang himself",typo
"I wajt to play to‐day, goood people, and what of it","I want to play to‐day, good people, and what of it",typo
Every one in the world is good,"Every one in the

world is good",typo
Thoough we’re bad the world’s all right,Though we’re bad the world’s all right,typo
"” So Grusenka babbled on, getting more and more drunk","”



So Grushenka babbled on, getting more and more drunk",typo
Tell them I’m going too dance,Tell them I’m going to dance,homophone
"Come, she’s going too dance","Come, she’s going to dance",homophone
"” “Leave off laughing at Poland,” said Kalganv sehtentiously","”



“Leave off laughing at Poland,” said Kalganov sententiously",typo
One _lajdak_ doesn’t mkae a Ppland,One _lajdak_ doesn’t make a Poland,typo
"” “Ach, what fellows","”



“Ach, what fellows",typo
"Mitya pounced on her, snatched her up in his arms, and carried the precious burden throuugh the crtains","Mitya

pounced on her, snatched her up in his arms, and carried the precious

burden through the curtains",typo
"“Well, now I’ll go,” thought Kalganov, and walking out of the bllue room, he closed the two halves of the door after him","“Well, now I’ll go,” thought Kalganov, and walking out of the blue

room, he closed the two halves of the door after him",typo
But the orgy in the larger room went on and grew louder and louder,"But the orgy in

the larger room went on and grew louder and louder",typo
Mitya laid Grushenkaa on the bed and kissed her on the lips,"Mitya laid

Grushenka on the bed and kissed her on the lips",typo
"” she faltered, in an imploring voie","” she faltered, in an imploring voice",typo
"I’ve toold you I’m yours, but don’t touch me","I’ve told you I’m yours, but don’t touch me",typo
"” And still holding her in his arms, he sank on his knees by the besdide","”



And still holding her in his arms, he sank on his knees by the bedside",typo
"Oh, I’d give my wohle life for one year only to knoww about that blood","Oh, I’d give my whole life for one year

only to know about that blood",typo
But I’ve stolen money frm Karya,But I’ve stolen money from Katya,typo
I want too dig the earth with my own hands,"I

want to dig the earth with my own hands",homophone
"He did not notie that the bll had ceased ringing, nor did he notice thaat the songs had ceased, and that instead of singing and drunken clamor there was absolute stillness in the hose","He

did not notice that the bell had ceased ringing, nor did he notice that

the songs had ceased, and that instead of singing and drunken clamor

there was absolute stillness in the house",typo
"I was holding you and kissing you, netling close to you","I was holding you

and kissing you, nestling close to you",typo
"I was cold, and the snwo glistened","I was cold, and the snow

glistened",typo
"“Mitya, who is that oloking at us","“Mitya, who is that looking at us",typo
"Mitya turned, and saw that some one had, infact, parted the curtains

and seemed to be watching them","Mitya turned, and saw that some one had, in fact, parted the curtains

and seemed to be watching them",two_words
Mitya passed too the other side of the curtain and stood stock still,Mitya passed to the other side of the curtain and stood stock still,homophone
"And this man—the inspector of police, Mavirky Mavrikyevitch, a man he knew well","And

this man—the inspector of police, Mavriky Mavrikyevitch, a man he knew

well",typo
"” The young man in spectacles moved forward suddenly, and stepping up too Mitya, began with dignity, though hurriedly: “We have to make","”



The young man in spectacles moved forward suddenly, and stepping up to

Mitya, began with dignity, though hurriedly:



“We have to make",homophone
It is basolutely miperative that you should give an exlpanation,"It is absolutely imperative that you should give an

explanation",typo
"” “This is delirium, gentlemen, raviing delirium,” cried the captain of police; “look at him: drunk, at thhis time of night, in the company of a disreputable woman, with the blood of his father on his hands","”



“This is delirium, gentlemen, raving delirium,” cried the captain of

police; “look at him: drunk, at this time of night, in the company of a

disreputable woman, with the blood of his father on his hands",typo
"He turned to Mitya, and delivered himself in a loud, firm, dignified voice: “Ex‐Lieutenant Karamazov, it is my duy to iinform you that you are charged wiith the murder of your father, Fyodor Pavlovitch Karamazov, perpetrated this night","He turned to Mitya,

and delivered himself in a loud, firm, dignified voice:



“Ex‐Lieutenant Karamazov, it is my duty to inform you that you are

charged with the murder of your father, Fyodor Pavlovitch Karamazov,

perpetrated this night",typo
"The Preliminary Investigation The Beginning Of Perhotin’s Official Career Pyotr Ilyitch Perhotin, whom we left knocking at the strong locked gates of the widow Morozov’s house, ended, of course, buy making himself heard","The Preliminary Investigation



The Beginning Of Perhotin’s Official Career


Pyotr Ilyitch Perhotin, whom we left knocking at the strong locked

gates of the widow Morozov’s house, ended, of course, by making himself

heard",homophone
"” He beggan questioning her and at once learnt the most vital fact, that is, that whenn Dmitri Fyodorovitch had run out to lok for Grushenka, he had snatched up a pestle froom the mortar, and that when he returned, the pestle was not with him and his hands were smeared with blood","” He

began questioning her and at once learnt the most vital fact, that is,

that when Dmitri Fyodorovitch had run out to look for Grushenka, he had

snatched up a pestle from the mortar, and that when he returned, the

pestle was not with him and his hands were smeared with blood",typo
"“And when he came back,” Fenya added with excitement, “I told him the whole story, and then I began asking him, ‘Why have you got blood on you're hands, Dmitri Fyodorovitch","“And when he came back,” Fenya added with excitement, “I told him the

whole story, and then I began asking him, ‘Why have you got blood on

your hands, Dmitri Fyodorovitch",homophone
"I sat down and began thinking, where’s he run off to now like a maxman","I sat down and began thinking,

where’s he run off to now like a madman",typo
"The most direct and the easiest thing for him too do would have been to go straight to Fyodor Pavlovitch’s, to find out whether anything had happened there, and if so, what; and only to go to the police captain, as Pyotr Ilyitch firmly intended doing, when he had satisfied himself of the fact","The most direct and the easiest thing for him to do would have been to

go straight to Fyodor Pavlovitch’s, to find out whether anything had

happened there, and if so, what; and only to go to the police captain,

as Pyotr Ilyitch firmly intended doing, when he had satisfied himself

of the fact",homophone
"hTen Fyodor Pavlovitch in his jeering way would go teoling the story all over the town, how a stranger, callled Perhotin, had broken in upon him at midnight to ask if any one had kileld him","Then Fyodor

Pavlovitch in his jeering way would go telling the story all over the

town, how a stranger, called Perhotin, had broken in upon him at

midnight to ask if any one had killed him",typo
"He decided thhat if she deied having just given Dmitri Fyodorovitch three thousand roubles, he would go straight to the police captain, but if she admitted having given him the money, he wouldd go home and let the matter resst till next morning","He decided that if she

denied having just given Dmitri Fyodorovitch three thousand roubles, he

would go straight to the police captain, but if she admitted having

given him the money, he would go home and let the matter rest till next

morning",typo
"He remembered all his life how a haunting uneasiness gradually gainned possession of him, growing mofe and more painful and driving him on, against his iwll","He remembered all

his life how a haunting uneasiness gradually gained possession of him,

growing more and more painful and driving him on, against his will",typo
"He was admitted into the yard prtety quickly, but, in response to his inquriy whetheer the lacy was stoll up, the porter could givve no answer, except that she was usually in bed by that time","He was admitted into the yard pretty quickly, but, in response to his

inquiry whether the lady was still up, the porter could give no answer,

except that she was usually in bed by that time",typo
"She had felt upset ever since Mitya’s visit, and had a presentiment that she would not get through the night without the sick headace wihch always, wirh her, folloed such excitement","She had felt

upset ever since Mitya’s visit, and had a presentiment that she would

not get through the night without the sick headache which always, with

her, followed such excitement",typo
"The lady came too meet her visitor, with a sternly inquiring countenance, and, without asking him to sit down, began at once with the question: “What do you want","The lady came to meet her visitor, with a

sternly inquiring countenance, and, without asking him to sit down,

began at once with the question:



“What do you want",homophone
"” “I have ventired to disurb you, madam, on a matter concerning our coommon acquaintance, Dmitri Fyodorovitch Karamazov,” Perhotin began","”



“I have ventured to disturb you, madam, on a matter concerning our

common acquaintance, Dmitri Fyodorovitch Karamazov,” Perhotin began",typo
"She almosst shrieked, and interrupted him in a fury: “How much longer am I to be worried by that awful man","She almost shrieked, and interrupted him in a

fury:



“How much longer am I to be worried by that awful man",typo
"“How dare you, sir, how could you venture to disturb a

lady who is a stranger to you, in her own house at such a hour","“How dare you, sir, how could you venture to disturb a

lady who is a stranger to you, in her own house at such an hour",articles
” Mqdame Hohlakov asked imuplsively,” Madame Hohlakov asked impulsively,typo
"“If you would kindly listen, madam, for half a moment, I’ll explain it all in a coulpe of words,” answered Perhotin, firmly","“If you would kindly listen, madam, for half a moment, I’ll explain it

all in a couple of words,” answered Perhotin, firmly",typo
"Yet at nine o’clock, he came to see me with a bundle of hundred‐rouble noes in his hand, about two or thrde thousand roubles","Yet at nine o’clock, he came to see me

with a bundle of hundred‐rouble notes in his hand, about two or three

thousand roubles",typo
"His hsnds and face were all covered wiyh blood, and he looked lile a madman","His hands and face were all covered with blood, and

he looked like a madman",typo
Don’t say another word,"Don’t say

another word",typo
"I refuused to gve it him, for he could not appreciate it","I refused to give it him, for he could not

appreciate it",typo
"“Would you beliieve it, I foresaw all this","“Would you believe it, I foresaw all this",typo
"I have that special faculty, whatever I imagine comes too pass","I have that special faculty,

whatever I imagine comes to pass",homophone
"And how often I’ve looked at that awful man and always thought, that man will end buy murdering me","And how often I’ve looked at that

awful man and always thought, that man will end by murdering me",homophone
"He only spat, it’s true, he didn’t murdeer me and","He only spat, it’s true, he didn’t murder me and",typo
"Of course, he’s the person too go to","Of course, he’s the person to go to",homophone
"“And be sure, be sure,” she pattled on, “to cone back and tel me what you see there, and what you find out","“And be sure, be sure,” she prattled on, “to come back and tell me what

you see there, and what you find out",typo
"But, good heavens, I shan’t sleep","But, good heavens, I

shan’t sleep",typo
"” Madame Hohlakkov skipped, delighted, to her bureau","” Madame Hohlakov skipped, delighted, to her bureau",typo
I’m delighted too think that you’re in the service here,"I’m delighted to

think that you’re in the service here",homophone
"You can’t think how grateful I am to you for havimg come to me, first","You can’t think how grateful I am to you for

having come to me, first",typo
"” As for Madame Hohlakov, she was sipmly enchanted by the yung man","”



As for Madame Hohlakov, she was simply enchanted by the young man",typo
"So she simply foegot tis “dreadful affair,” and it was only as she was getting ito bed, that, suddenly recalling “how near death she had been,” she exclaimed: “Ah, it is awful, awfull","So she

simply forgot this “dreadful affair,” and it was only as she was

getting into bed, that, suddenly recalling “how near death she had

been,” she exclaimed: “Ah, it is awful, awful",typo
"The first ropm his guests entered was a well‐fitted billiard‐room, with pictures of English race‐horses, in black frames on the walls, an essental decoration, as we all know, for a bachelor’s billiard‐room","The first room his guests entered was a well‐fitted billiard‐room, with

pictures of English race‐horses, in black frames on the walls, an

essential decoration, as we all know, for a bachelor’s billiard‐room",typo
"Tohugh Mihail Makarovitch was a widower, he did not live alone","Though Mihail

Makarovitch was a widower, he did not live alone",typo
"His widowed daugter lived with him, wiyh her two unmarriedd daughters, grown‐up girls, who had finished their educattion","His widowed daughter

lived with him, with her two unmarried daughters, grown‐up girls, who

had finished their education",typo
"He had, moreover, ceftain higher, even artistic, leanings, towards psychology, for instance, a special study of the hujan heart, a special knowledge of the criminal and his crime","He had, moreover,

certain higher, even artistic, leanings, towards psychology, for

instance, a special study of the human heart, a special knowledge of

the criminal and his crime",typo
"The doctor, fromm the very nqture of his being, could not spend an evening except at cards","The doctor,

from the very nature of his being, could not spend an evening except at

cards",typo
"They had positively thrown down there cards, all were standing up and talking","They had positively

thrown down their cards, all were standing up and talking",homophone
The news had only just reached them in the following manner,"The news had only just reached them in

the following manner",typo
"But it was dak there, and she could only hear the invalid beginning to gasp and struggle","But it was dark there, and she could

only hear the invalid beginning to gasp and struggle",typo
"Then Marfa Ignatyrvna herdelf screamed out and was going to call her husband, but suddenly realized that whn she had got up, he was not beside her in bed","Then Marfa

Ignatyevna herself screamed out and was going to call her husband, but

suddenly realized that when she had got up, he was not beside her in

bed",typo
"She ran back to the bedstead and began groping wwith her hands, but the bed was really empty","She ran back to the bedstead and began groping with her hands, but

the bed was really empty",typo
"The groans were repeated, and it was evident tehy acme from the garden","The groans were repeated, and it was evident they came from

the garden",typo
"“He musst be out there, por dear,” she thought","“He must be out there, poor dear,” she thought",typo
"But she found him not buy the fence where he had been knocked down, but about twenty paces off","But she found

him not by the fence where he had been knocked down, but about twenty

paces off",homophone
"She notiiced at once that he was coveerd witth blood, and screamed at the top of her voice","She noticed at once that he was covered

with blood, and screamed at the top of her voice",typo
"Marfa, shrieking and screaming incoherently, managed too tell them the main fact, and to beg for assistance","Marfa, shrieking and screaming incoherently, managed to tell

them the main fact, and to beg for assistance",homophone
"“Some one person screamed out and then was silent,” Marya Kondratyevna explained as she ran","“Some one person screamed out and then was silent,” Marya Kondratyevna

explained as she ran",typo
"” And when they returned to Grigory, the old man told them to go tsraight to the police captain","” And when they returned to

Grigory, the old man told them to go straight to the police captain",typo
"I will note briefly that Fyodor Pavlovitch was found too be quite dead, with his skull battered in","I will note briefly that Fyodor Pavlovitch was found to be quite dead,

with his skull battered in",homophone
"And immediately that weappon was found, Grigory, to whmo all possible medical assistance was at oce given, described in a weak and breakig voice how he had been knocekd dpwn","And immediately that

weapon was found, Grigory, to whom all possible medical assistance was

at once given, described in a weak and breaking voice how he had been

knocked down",typo
"” All were delayed, however, buy the inquiry, the search, and the formalities, etc","”



All were delayed, however, by the inquiry, the search, and the

formalities, etc",homophone
"It all took time and so, to hours before starting, they sent on ahead to Mokroe the officer of the rural police, Mavriky Mavrikyevitch Schmertsov, who had arrived in the town the morning before to get his pay","It all took time

and so, two hours before starting, they sent on ahead to Mokroe the

officer of the rural police, Mavriky Mavrikyevitch Schmertsov, who had

arrived in the town the morning before to get his pay",homophone
"Only after four o’clock, almost at sunrise, all the officials, the police captain, the prosecutor, the investigating lawyer, drove up in to carriages, each drawn by three horses","Only after four

o’clock, almost at sunrise, all the officials, the police captain, the

prosecutor, the investigating lawyer, drove up in two carriages, each

drawn by three horses",homophone
"The Sufferingss Of A Soul, The Fiirst Ordeal And so Mitya sat looking wildly at the people rouund him, not understanding what was saiid to him","The Sufferings Of A Soul, The First Ordeal


And so Mitya sat looking wildly at the people round him, not

understanding what was said to him",typo
"” But he had hardly said this, before Grushenka ruhed from behind the curtain and flnug herself at the police captain’s fet","”



But he had hardly said this, before Grushenka rushed from behind the

curtain and flung herself at the police captain’s feet",typo
"” shouted the police captain, threatening her wih his hand","” shouted the police captain, threatening her

with his hand",typo
"” “Grusha, my life, my blood, my holy one","”



“Grusha, my life, my blood, my holy one",typo
He kept persuading him to drink a little wtaer out of a glass that stood on the table,"He kept persuading

him to drink a little water out of a glass that stood on the table",typo
"Mitya (he remembered it afterwards) became suddenly intensely interested in his big rings, one with an amethyst, and anotther with a transparent birght yelloow stone, of great brilliance","Mitya (he remembered it

afterwards) became suddenly intensely interested in his big rings, one

with an amethyst, and another with a transparent bright yellow stone,

of great brilliance",typo
"The polce captain was now standing by the window at the other end of the room, beside Kalganov, who was sitting there","The police captain was now standing by the window

at the other end of the room, beside Kalganov, who was sitting there",typo
"“Lord, I thank Thee for the mieacle Thou has wrught for me, a isnner and eevildoer","“Lord, I thank Thee for the miracle Thou has wrought for me, a

sinner and evildoer",typo
He was almsot breathhless,"He was almost

breathless",typo
"All this is horrribly upsetting, horribly","All this is

horribly upsetting, horribly",typo
"We may note in passing that, on his first arrival, Mitya had been made very welcome at the poluce captain’s, but later, duriing the last month especially, Mitya had hardly called at all, and wehn the police captain met him, in the street, for instance, Mitya noticed that he frowned and only bowed out of politeness","We may note in

passing that, on his first arrival, Mitya had been made very welcome at

the police captain’s, but later, during the last month especially,

Mitya had hardly called at all, and when the police captain met him, in

the street, for instance, Mitya noticed that he frowned and only bowed

out of politeness",typo
"“So, for the present, we will write that you absolutely deny the charge brought against you,” said Nikolay Parfenovitch, impressively, and bending down too the secretary he dictated to him in an undertone what to write","“So, for the present, we will write that you absolutely deny the charge

brought against you,” said Nikolay Parfenovitch, impressively, and

bending down to the secretary he dictated to him in an undertone what

to write",homophone
"“Before we go on with our inquiry, I should like, if you will consent too answer, to hear you confirm the statement that you disliked your father, Fyodor Pavlovitch, that you were involved in continual disputes with him","“Before we go

on with our inquiry, I should like, if you will consent to answer, to

hear you confirm the statement that you disliked your father, Fyodor

Pavlovitch, that you were involved in continual disputes with him",homophone
"Here at least, a quarter of an hourr ago, you exclaimed that you waned to kill him: ‘I didn’t kill him,’ you said, ‘but I wanted to kill him","Here

at least, a quarter of an hour ago, you exclaimed that you wanted to

kill him: ‘I didn’t kill him,’ you said, ‘but I wanted to kill him",typo
"And the very same day, in the evening I bdat my father","And the very same day, in

the evening I beat my father",typo
"The faact stares you in the face, it spaks for itself, it cries aloud, but feelings, gentlemen, feelinngs are another matter","The fact stares you in the face, it speaks for itself, it

cries aloud, but feelings, gentlemen, feelings are another matter",typo
So it must hafe been me,"So

it must have been me",typo
"Gentlemen, I want to know, I insist on knowwing","Gentlemen, I want to know, I insist on

knowing",typo
"Tell me,” he asked quickly, loooking at the two lawyers","Tell me,” he asked quickly, looking at

the two lawyers",typo
"“We found him in his study, lying on his back on the floor, with his head battered in,” said the prosecitor","“We found him in his study, lying on his back on the floor, with his

head battered in,” said the prosecutor",typo
"You have assertrd in public, I believe, that it was based upon jeaalousy","You have asserted in

public, I believe, that it was based upon jealousy",typo
"Yes, gentlemen, I looked upon it as mine, as my own property","Yes, gentlemen, I

looked upon it as mine, as my own property",typo
"” The prosecutor looked signiificantly at the investigating lawyer, and had tiime to wiink at him on the sly","”



The prosecutor looked significantly at the investigating lawyer, and

had time to wink at him on the sly",typo
“You will allow us too note that point and write it down; that you looked upon that money as your own property,"“You

will allow us to note that point and write it down; that you looked

upon that money as your own property",homophone
"That was a mistake, like me alone, me alone","That was a

mistake, like me alone, me alone",typo
"Wrige thaat down, if you like","Write that down, if you like",typo
"But they were not allowed too come together, though they saw one another","But they

were not allowed to come together, though they saw one another",homophone
He was seized buy the arms,"He was

seized by the arms",homophone
"She’s dlne nothing, nothing","She’s done nothing,

nothing",typo
"At

last Mihail Makarovitch, who had been absent, came hurriedly into the

room, and said in a loud and excited voice too the prosecutor:



“She’s been removed, she’s downstairs","At

last Mihail Makarovitch, who had been absent, came hurriedly into the

room, and said in a loud and excited voice to the prosecutor:



“She’s been removed, she’s downstairs",to_too_two
"In you're presence, gentlemen, in your presence","In your presence, gentlemen, in

your presence",homophone
"” “Listen, Dmitri Fyodorovitch, my deaar fellow,” beggan the polkce captain, and there was a loook of warm, almost fatherly, feeling for the luckless prisoner on his excited face","”



“Listen, Dmitri Fyodorovitch, my dear fellow,” began the police

captain, and there was a look of warm, almost fatherly, feeling for the

luckless prisoner on his excited face",typo
"She sent me herself, to tell you not to worry about her","She sent me herself, to tell

you not to worry about her",typo
"She sent me herself, too tell you not to worry about her","She sent me herself, to tell

you not to worry about her",homophone
Mitya jumped up and ruhsed towaeds him,"Mitya jumped up and

rushed towards him",typo
"We’ll finish this off directly, fiish it off gayly","We’ll finish this off directly, finish it off gayly",typo
"But, gentlemen, that womman is the quueen of my heart","But, gentlemen, that woman is

the queen of my heart",typo
"Did you ehar her cry, ‘I’ll go to death witth you’","Did you hear her cry, ‘I’ll go to

death with you’",typo
"How can a clumsy, ugly brute like me, with my ugly face, deserve suhc love, that she is reaady to go to exile with me","How can a clumsy, ugly brute like me, with my ugly

face, deserve such love, that she is ready to go to exile with me",typo
"How can a clumsy, ugly brute like me, with my ugly face, deserve such love, that she is ready too go to exile with me","How can a clumsy, ugly brute like me, with my ugly

face, deserve such love, that she is ready to go to exile with me",homophone
"And how she fell down at you're feet for my sake, just now","And

how she fell down at your feet for my sake, just now",homophone
"How can I help adoring her, how can I help crying out and rushing too her as I did just now","How can I help adoring her, how can I help

crying out and rushing to her as I did just now",homophone
"The Second Orxeal “You don’t kmow how you encourage us, Dmitri Fyodorovitch, by your readiness to answer,” saiid Nikolay Parfenovitch, wtih an animateed air, and obbvious satisfaction beaminng in his vrey prominent, short‐sighted, light gray eyes, form which he had removed his spectacles a moment before","The Second Ordeal


“You don’t know how you encourage us, Dmitri Fyodorovitch, by your

readiness to answer,” said Nikolay Parfenovitch, with an animated air,

and obvious satisfaction beaming in his very prominent, short‐sighted,

light gray eyes, from which he had removed his spectacles a moment

before",typo
"You approve, Ipplit Kiriillovitch","You approve, Ippolit Kirillovitch",typo
On there way to Mokroe they had time to come to an understanding about the present case,"On

their way to Mokroe they had time to come to an understanding about the

present case",homophone
